Freq,FreqOfFreq
252,2
26,36
2,4428
106,3
5,746
4,1084
34,26
88,1
245,2
14524,1
140,1
1,17446
122,1
30,33
5383,1
63,5
10,188
50,10
18,71
349,2
112,2
2043,1
150,1
51,9
13,140
208,2
8,279
70,7
3,1848
39,11
77,6
1118,1
321,2
68,6
31,36
11,158
17,59
236,1
6,496
7,334
171,3
148,3
178,2
24,37
46,11
353,1
62,7
19,70
438,1
43,11
16,89
728,1
74,2
47,12
119,3
354,1
21,52
181,3
608,1
507,1
20,58
271,1
32,35
158,2
116,3
27,37
732,1
45,18
9,238
1499,1
58,10
107,3
97,3
59,13
38,14
98,4
198,2
660,1
25,57
151,1
295,1
14,121
22,30
12,142
40,16
136,4
201,1
173,1
90,4
35,18
23,40
65,7
338,1
121,1
37,19
164,1
71,9
117,2
15,87
82,8
57,7
42,17
33,28
280,1
447,1
156,2
83,7
48,9
242,1
194,1
28,28
114,2
84,2
457,1
128,1
64,6
238,1
73,7
195,1
126,2
61,4
96,2
406,1
100,3
133,2
76,5
81,4
261,1
85,8
111,2
60,11
92,2
95,1
89,3
54,12
220,2
125,2
44,14
94,4
185,1
86,2
320,1
29,27
99,5
36,11
188,2
67,5
105,3
166,1
52,5
161,2
49,11
240,1
41,19
404,1
991,1
55,7
103,3
145,1
102,3
205,1
80,4
226,1
79,4
53,9
115,1
968,1
191,2
134,3
101,2
78,3
1280,1
1278,1
325,1
1104,1
135,2
4468,1
123,3
66,7
197,2
187,2
110,1
262,1
75,3
139,1
113,2
109,1
416,1
251,1
300,1
257,2
93,3
153,2
149,2
339,1
142,2
218,1
189,1
196,1
56,4
167,1
72,2
147,1
129,1
143,1
159,2
248,1
157,1
69,2
104,2
796,1
209,1
452,1
677,1
132,1
182,1
366,1
91,1
163,1
265,1
225,2
160,1
170,1
